id,name,city,country,IATA,ICAO,latitude,longitude,altitude,timezone,timezone_name,type,source
1401,Luxeuil-Saint-Sauveur (BA 116) Air Base,Luxeuil,France,\N,LFSX,47.7830556,6.36416667,913,1,Europe/Paris,airport,OurAirports
1402,Cuers-Pierrefeu Airport,Cuers,France,\N,LFTF,43.24779892,6.126699924,266,1,Europe/Paris,airport,OurAirports
1403,Toulon-Hyères Airport,Hyeres,France,TLN,LFTH,43.09730148,6.146029949,7,1,Europe/Paris,airport,OurAirports
1404,Nîmes-Arles-Camargue Airport,Nimes,France,FNI,LFTW,43.75740051,4.416349888,309,1,Europe/Paris,airport,OurAirports
1405,Miquelon Airport,Miquelon,Saint Pierre and Miquelon,MQC,LFVM,47.09550095,-56.38029861,10,-3,America/Miquelon,airport,OurAirports
1406,St Pierre Airport,St.-pierre,Saint Pierre and Miquelon,FSP,LFVP,46.76290131,-56.17309952,27,-3,America/Miquelon,airport,OurAirports
1407,Ambérieu Air Base (BA 278),Amberieu,France,\N,LFXA,45.987301,5.32844,823,1,Europe/Paris,airport,OurAirports
1408,Damblain Airport,Damblain,France,\N,LFYD,48.0862999,5.664060116,1280,1,Europe/Paris,airport,OurAirports
1409,Andravida Air Base,Andravida,Greece,PYR,LGAD,37.9207,21.292601,55,2,Europe/Athens,airport,OurAirports
1410,Agrinion Air Base,Agrinion,Greece,AGQ,LGAG,38.602001,21.3512001,154,2,Europe/Athens,airport,OurAirports
1411,Dimokritos Airport,Alexandroupolis,Greece,AXD,LGAL,40.85589981,25.95630074,24,2,Europe/Athens,airport,OurAirports
1412,Alexandria Airport,Alexandria,Greece,\N,LGAX,40.65110016,22.48870087,27,2,Europe/Athens,airport,OurAirports
1413,Nea Anchialos Airport,Nea Anghialos,Greece,VOL,LGBL,39.21960068,22.79430008,83,2,Europe/Athens,airport,OurAirports
